"Country","Year","Sex","Age","Pop","Source"
"Malawi",2008,"m",0,250520,"IPUMS"
"Malawi",2008,"m",1,227050,"IPUMS"
"Malawi",2008,"m",2,228820,"IPUMS"
"Malawi",2008,"m",3,235170,"IPUMS"
"Malawi",2008,"m",4,238380,"IPUMS"
"Malawi",2008,"m",5,217920,"IPUMS"
"Malawi",2008,"m",6,190380,"IPUMS"
"Malawi",2008,"m",7,206200,"IPUMS"
"Malawi",2008,"m",8,203970,"IPUMS"
"Malawi",2008,"m",9,167580,"IPUMS"
"Malawi",2008,"m",10,185060,"IPUMS"
"Malawi",2008,"m",11,160770,"IPUMS"
"Malawi",2008,"m",12,178820,"IPUMS"
"Malawi",2008,"m",13,155530,"IPUMS"
"Malawi",2008,"m",14,166350,"IPUMS"
"Malawi",2008,"m",15,152780,"IPUMS"
"Malawi",2008,"m",16,135470,"IPUMS"
"Malawi",2008,"m",17,119160,"IPUMS"
"Malawi",2008,"m",18,138080,"IPUMS"
"Malawi",2008,"m",19,110710,"IPUMS"
"Malawi",2008,"m",20,125910,"IPUMS"
"Malawi",2008,"m",21,113280,"IPUMS"
"Malawi",2008,"m",22,120880,"IPUMS"
"Malawi",2008,"m",23,113580,"IPUMS"
"Malawi",2008,"m",24,115550,"IPUMS"
"Malawi",2008,"m",25,127790,"IPUMS"
"Malawi",2008,"m",26,108440,"IPUMS"
"Malawi",2008,"m",27,97360,"IPUMS"
"Malawi",2008,"m",28,129320,"IPUMS"
"Malawi",2008,"m",29,90480,"IPUMS"
"Malawi",2008,"m",30,122070,"IPUMS"
"Malawi",2008,"m",31,77000,"IPUMS"
"Malawi",2008,"m",32,88090,"IPUMS"
"Malawi",2008,"m",33,82030,"IPUMS"
"Malawi",2008,"m",34,69090,"IPUMS"
"Malawi",2008,"m",35,87680,"IPUMS"
"Malawi",2008,"m",36,72670,"IPUMS"
"Malawi",2008,"m",37,56610,"IPUMS"
"Malawi",2008,"m",38,74400,"IPUMS"
