RACE_HISP,SEX,YEAR,TOTAL_DEATHS,DTH_0,DTH_1,DTH_2,DTH_3,DTH_4,DTH_5,DTH_6,DTH_7,DTH_8,DTH_9,DTH_10,DTH_11,DTH_12,DTH_13,DTH_14,DTH_15,DTH_16,DTH_17,DTH_18,DTH_19,DTH_20,DTH_21,DTH_22,DTH_23,DTH_24,DTH_25,DTH_26,DTH_27,DTH_28,DTH_29,DTH_30,DTH_31,DTH_32,DTH_33,DTH_34,DTH_35,DTH_36,DTH_37,DTH_38,DTH_39,DTH_40,DTH_41,DTH_42,DTH_43,DTH_44,DTH_45,DTH_46,DTH_47,DTH_48,DTH_49,DTH_50,DTH_51,DTH_52,DTH_53,DTH_54,DTH_55,DTH_56,DTH_57,DTH_58,DTH_59,DTH_60,DTH_61,DTH_62,DTH_63,DTH_64,DTH_65,DTH_66,DTH_67,DTH_68,DTH_69,DTH_70,DTH_71,DTH_72,DTH_73,DTH_74,DTH_75,DTH_76,DTH_77,DTH_78,DTH_79,DTH_80,DTH_81,DTH_82,DTH_83,DTH_84,DTH_85
0,0,2012,2521852,26428,1620,913,808,718,600,519,447,418,413,424,498,605,776,998,1284,1657,2086,2504,2927,3338,3630,3751,3766,3802,3866,3944,3962,4008,4145,4218,4396,4448,4401,4540,4675,4940,5267,5621,6255,7154,8047,8624,9094,9874,10947,12490,14158,15610,16953,18561,20352,21785,22998,24565,25777,27062,28307,29226,30242,31528,33187,35010,37214,40983,39430,36234,38631,41952,43286,42211,42990,44550,46479,48101,49801,52616,54058,55827,59585,63372,67518,70501,73057,76423,801866
0,0,2013,2552865,26513,1651,909,796,691,589,522,448,415,412,421,488,591,771,980,1273,1593,1989,2414,2827,3195,3533,3763,3828,3828,3835,3855,3951,3981,4046,4167,4272,4446,4505,4509,4661,4837,5143,5531,5923,6636,7595,8585,9229,9732,10571,11690,13299,15108,16564,17991,19610,21481,22901,24154,25750,27021,28360,29703,30663,31790,33179,35010,37002,39347,43299,41643,38264,40781,44340,45792,44693,45542,47191,49191,50873,52563,55464,56875,58632,62566,66152,70485,73395,75671,824380
0,0,2014,2583281,26436,1679,935,793,680,583,529,451,421,415,421,455,574,753,983,1246,1560,1929,2306,2711,3083,3422,3668,3839,3896,3859,3816,3865,3963,4001,4051,4201,4326,4515,4614,4655,4839,5038,5407,5857,6284,7031,8099,9187,9874,10401,11283,12471,14201,16036,17584,19027,20708,22587,24055,25346,26991,28316,29747,31181,32231,33489,35041,37007,39131,41574,45743,43994,40424,43140,46941,48521,47389,48269,49983,52055,53737,55442,58402,59774,61641,65344,69086,73412,76054,844273
0,0,2015,2613406,26329,1668,956,804,659,571,495,452,425,416,419,458,566,734,948,1226,1537,1877,2229,2599,2965,3277,3536,3747,3914,3922,3848,3829,3860,3980,4006,4099,4277,4382,4621,4757,4812,5028,5290,5728,6186,6658,7523,8678,9831,10550,11128,12058,13308,15080,17018,18595,20110,21789,23774,25277,26598,28305,29721,31237,32792,33977,35378,37058,39178,41395,43958,48383,46543,42798,45704,49777,51483,50253,51167,52912,55025,56721,58425,61410,62910,64404,68266,71998,76106,862715
0,0,2016,2643433,26213,1661,952,825,680,560,484,448,416,410,407,453,553,725,926,1208,1515,1848,2168,2506,2828,3160,3409,3634,3814,3937,3913,3854,3829,3896,3992,4069,4162,4331,4509,4757,4948,5020,5289,5598,6079,6578,7121,8048,9306,10519,11296,11876,12854,14130,16016,18003,19658,21180,22958,24959,26542,27893,29725,31216,32850,34564,35900,37449,39258,41469,43794,46510,51202,49283,45362,48486,52855,54649,53299,54205,55964,58131,59819,61484,64714,65771,67319,71165,74668,879399
0,0,2017,2673485,26080,1654,942,817,697,567,480,419,386,392,399,452,553,707,897,1173,1503,1817,2144,2442,2739,3045,3269,3485,3690,3841,3926,3919,3854,3866,3907,4055,4129,4224,4444,4638,4934,5141,5287,5607,5926,6435,7028,7642,8643,9947,11280,12071,12682,13661,15020,16942,19054,20711,22316,24123,26243,27857,29312,31224,32838,34642,36532,38015,39687,41586,43917,46356,49258,54262,52304,48162,51516,56133,57989,56500,57371,59157,61336,62995,64867,67686,68781,70196,73837,892924
0,0,2018,2704221,25949,1649,943,819,690,584,493,421,378,383,395,451,547,692,897,1127,1432,1798,2105,2400,2668,2923,3135,3342,3549,3696,3840,3952,3933,3888,3871,3954,4117,4186,4315,4575,4806,5145,5409,5585,5950,6306,6887,7545,8189,9257,10664,12047,12892,13491,14531,15926,17939,20084,21835,23483,25366,27569,29263,30796,32861,34637,36634,38717,40333,42095,44072,46539,49136,52241,57605,55567,51205,54744,59609,61517,59841,60687,62470,64649,66537,67889,70831,71766,72860,904117
0,0,2019,2735652,25801,1655,942,820,689,584,512,420,379,374,388,453,536,688,870,1119,1397,1733,2084,2382,2626,2853,3029,3212,3415,3556,3696,3855,3952,3952,3914,3927,4034,4167,4286,4471,4746,5006,5408,5725,5924,6308,6748,7383,8088,8786,9924,11387,12877,13693,14339,15396,16863,18921,21195,23001,24708,26669,28970,30767,32428,34666,36655,38841,41095,42797,44633,46753,49354,52133,55499,61251,59127,54453,58179,63278,65201,63348,64125,65890,68370,69684,71069,73932,74525,912763
0,0,2020,2768344,25624,1635,944,814,691,573,518,432,391,378,384,436,537,677,868,1114,1382,1684,1991,2337,2587,2811,2963,3103,3282,3439,3566,3712,3853,3975,3985,3954,3987,4082,4262,4445,4625,4955,5286,5732,6078,6284,6750,7236,7944,8683,9420,10602,12186,13698,14581,15209,16317,17787,19979,22332,24237,25959,28037,30462,32412,34223,36710,38903,41283,43653,45427,47382,49622,52392,55425,59031,65203,62913,57892,61778,67105,69077,67002,67690,69746,71630,72989,74220,76815,922026
0,0,2021,2802623,25427,1626,933,801,696,574,512,435,404,390,387,421,509,674,864,1084,1349,1643,1937,2232,2533,2771,2894,3030,3151,3291,3425,3580,3711,3889,3997,4017,4017,4053,4174,4408,4598,4824,5204,5586,6087,6450,6724,7261,7786,8515,9304,10081,11337,12966,14571,15452,16114,17228,18797,21088,23544,25482,27334,29527,32087,34232,36255,38990,41363,43869,46373,48280,50344,52736,55742,59012,62889,69449,66944,61542,65577,71149,73117,70784,71771,73139,75082,76280,77165,932753
